"PLAYER_NAME","START_POSITION","MIN","FGA","FG_PCT","FG3A","OREB","REB","AST","STL","PTS","TO","PF","DK_POINTS","PTS_PAINT","PFD","DRIVES","DRIVE_FGA","DRIVE_FG_PCT","DRIVE_PTS","TOUCHES","CONTESTED_FGA","CONTESTED_FG_PCT","PACE","PNR_POSSG","ISO_POSSG","SPOT_POSSG","OFF_SCREEN_POSSG","CATCH_SHOOT_FGA","CATCH_SHOOT_FG_PCT","CATCH_SHOOT_3FGA","PASSES_MADE","PASSES_RECEIVED","TIME_OF_POSS","POST_TOUCH_FGA","PULL_UP_FGA","PULL_UP_3FGA","NATIONAL_TV"
"Gary Harris","G","27:41",5,0.6,1,0,2,2,0,7,3,0,13.00,0,1,2,1,0,0,23,3,0.667,87.53,1.27,0.45,3.17,0.89,2,1,1,13,19,0.8,0,2,0,NULL
"Josh Richardson","G","20:46",5,0.6,3,0,3,0,0,8,0,4,12.75,2,2,2,2,0.5,2,27,1,1,91.99,1.67,0.33,2.67,NULL,3,0.667,3,20,16,1,0,0,0,NULL
"Andre Roberson","G","22:40",5,0.6,1,1,4,0,0,7,1,1,12.00,4,0,3,3,0.333,2,21,2,0,92.19,NULL,NULL,1.62,NULL,1,1,1,15,13,0.7,0,0,0,NULL
"Zach LaVine","G","35:18",11,0.273,2,0,0,2,0,9,0,1,12.00,4,2,3,3,0.333,2,37,6,0.167,89.61,4.28,1.19,2.01,1.05,3,0.333,1,24,36,2,0,4,1,NULL
"Gerald Henderson","","21:41",6,0.167,2,0,4,1,1,4,1,3,11.75,2,1,1,1,0,0,20,3,0.333,94.17,1.68,0.79,2.06,0.76,2,0,2,12,13,0.8,1,2,0,NULL
"J.R. Smith","G","22:09",7,0.429,2,1,1,3,0,7,2,4,11.50,4,2,2,1,0,0,27,2,0.5,91.88,0.97,1.58,4.16,2.03,1,1,1,17,20,1.2,0,3,1,NULL
"Wesley Matthews","G","32:07",12,0.25,8,0,1,1,0,7,0,2,11.50,6,1,2,2,0.5,3,39,4,0.5,88.93,1.14,0.71,4.53,1.54,6,0,6,24,33,1.6,1,3,2,NULL
"Danny Green","G","26:24",4,0.25,2,0,3,1,2,2,0,3,11.00,2,1,1,1,1,2,41,2,0.5,89.65,0.38,0.16,3.56,0.87,2,0,1,36,31,1.3,0,1,1,NULL
"Arron Afflalo","G","21:38",5,0.4,1,0,3,2,0,4,0,2,10.25,2,0,0,0,0,0,34,3,0.333,89.42,1.06,1.17,3.06,1.96,2,0,1,29,26,1.4,1,2,0,NULL
"Jamal Crawford","","24:19",10,0.1,3,0,2,1,0,7,2,4,9.75,0,2,3,1,0,2,47,6,0.167,101.4,4.37,3.30,2.66,0.49,3,0,2,33,36,2.8,0,6,1,NULL
